Ref,Val,Package,PosX,PosY,Rot,Side
"C16","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",126.075081,-124.660826,-90.000000,top
"C17","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",128.066800,-115.062000,90.000000,top
"C18","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",129.997200,-125.780800,-90.000000,top
"C19","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",125.480342,-120.496553,-90.000000,top
"C20","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",127.180342,-120.496553,-90.000000,top
"C21","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",132.965500,-137.564000,0.000000,top
"C22","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",133.750000,-114.400000,0.000000,top
"C23","100u","C_1206_3216Metric",175.463200,-103.886000,180.000000,top
"C24","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",156.263000,-92.351500,90.000000,top
"C25","4.7u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",163.063000,-100.814000,0.000000,top
"C26","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",191.608000,-88.644000,0.000000,top
"C27","100u","C_1206_3216Metric",187.368000,-88.644000,180.000000,top
"C28","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",175.209900,-106.476800,180.000000,top
"D1","BATT","LED_0805_2012Metric",106.203000,-66.201500,-90.000000,top
